iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
70,00:51:47,B.json,5,7/10,156,150.0
71,00:51:48,B.json,5,6/10,157,150.0
72,00:51:48,B.json,5,8/10,155,150.0
73,00:51:49,B.json,5,9/10,155,150.0
74,00:51:50,B.json,5,7/10,155,150.0
75,00:51:51,B.json,5,7/10,155,150.0
76,00:51:52,B.json,5,7/10,156,150.0
77,00:51:53,B.json,5,8/10,155,150.0
78,00:51:54,B.json,5,7/10,155,150.0
79,00:51:55,B.json,5,6/10,155,150.0
80,00:51:56,B.json,5,7/10,155,150.0
81,00:51:57,B.json,5,7/10,156,150.0
82,00:51:58,B.json,5,7/10,155,150.0
83,00:51:58,B.json,5,8/10,155,150.0
84,00:51:59,B.json,5,8/10,155,150.0
85,00:52:00,B.json,5,8/10,155,150.0
86,00:52:01,B.json,5,8/10,157,150.0
87,00:52:02,B.json,5,8/10,155,150.0
88,00:52:03,B.json,5,7/10,156,150.0
89,00:52:03,B.json,5,8/10,156,150.0
90,00:52:04,B.json,5,8/10,155,150.0
91,00:52:05,B.json,5,8/10,155,150.0
92,00:52:06,B.json,5,9/10,155,150.0
93,00:52:07,B.json,5,8/10,155,150.0
94,00:52:08,B.json,5,7/10,155,150.0
95,00:52:09,B.json,5,7/10,155,150.0
96,00:52:10,B.json,5,7/10,155,150.0
97,00:52:11,B.json,5,8/10,155,150.0
98,00:52:11,B.json,5,8/10,155,150.0
99,00:52:12,B.json,5,7/10,155,150.0
100,00:52:13,B.json,5,8/10,155,150.0
